object_type,condition,label,frame_number,timestamp,point_id,x,y,z,range,velocity_radial,velocity_x,velocity_y,velocity_z,velocity_magnitude,is_moving,motion_type,snr,noise,peak_value,rcs,azimuth,elevation,doppler_idx,range_idx,condition_confidence
ball,moving,ball_moving,3,10.63569252,4,0.0,0.044,0.0,0.044,8.689999999999998,0.0,8.689999999999998,0.0,8.689999999999998,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,913,1,1.0
ball,moving,ball_moving,3,10.63569252,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,4,10.885697475,0,-0.0827717497760608,13.595748042584454,0.0,13.596,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.808,10.0,37.808,-6.7282501066768745,-0.34881591796875,0.0,47,309,1.0
ball,moving,ball_moving,4,10.885697475,1,0.0,1.98,0.0,1.98,4.780000000000001,0.0,4.780000000000001,0.0,4.780000000000001,True,medium,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,806,45,1.0
ball,moving,ball_moving,4,10.885697475,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,4,10.885697475,3,0.012191306914168734,7.479990064969051,0.0,7.4799999999999995,0.9200000000000159,0.0014994655562881592,0.9199987780443378,0.0,0.9200000000000159,True,slow,20.04,10.0,50.04,-4.773231774717857,0.0933837890625,0.0,1084,170,1.0
ball,moving,ball_moving,4,10.885697475,4,0.0,0.044,0.0,0.044,9.210000000000008,0.0,9.210000000000008,0.0,9.210000000000008,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,917,1,1.0
ball,moving,ball_moving,4,10.885697475,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,5,11.13569699,0,-0.0827717497760608,13.595748042584454,0.0,13.596,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.808,10.0,37.808,-6.7282501066768745,-0.34881591796875,0.0,47,309,1.0
ball,moving,ball_moving,5,11.13569699,1,0.0,1.98,0.0,1.98,5.040000000000006,0.0,5.040000000000006,0.0,5.040000000000006,True,fast,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,808,45,1.0
